,goldstein_DirectFX_IndiaChina,goldstein_DirectFX_IndiaPak,goldstein_OilSupply,goldstein_RiskOff_RusUkr,goldstein_Combined
2015-01-23,0.0,2.5,2.298722334551837,0.8845204102005645,2.5
2015-01-24,0.0,2.2643091606597667,2.0820072159755725,0.8011310670430691,2.2643091606597667
2015-01-25,0.0,2.0508383900190945,2.1390625,0.7256033655979021,2.1390625
2015-01-26,0.0,7.5,2.097938144329897,0.657196139091555,7.5
2015-01-27,0.0,6.792927481979301,1.9001522234814952,0.5952380952380952,6.792927481979301
2015-01-28,0.0,6.152515170057285,1.7210128345108695,0.5391212287285159,6.152515170057285
2015-01-29,0.0,5.572478584263557,1.558762050718397,0.488294854766451,5.572478584263557
2015-01-30,0.0,5.047125722371336,1.411807676292188,0.4422602051002822,5.047125722371336
2015-01-31,0.0,4.571301203266783,3.0666666666666664,6.748809523809523,6.748809523809523
2015-02-01,0.0,4.140335676276797,3.452980132450332,8.85945945945946,8.85945945945946
2015-02-02,0.0,3.75,3.1274458181933844,8.024222085019153,8.024222085019153
2015-02-03,0.0,3.3964637409896503,2.8505050505050504,7.267727829710912,7.267727829710912
2015-02-04,0.0,3.076257585028642,2.581769879346207,6.582553080798537,6.582553080798537
2015-02-05,0.0,6.5,2.33837007540763,5.961974096552519,6.5
2015-02-06,0.0,5.887203817715394,2.117917113103267,5.3999010249760415,5.887203817715394
2015-02-07,0.0,5.332179814049646,1.9182476482871256,4.890818143003727,5.332179814049646
2015-02-08,0.0,9.0,1.7374022889722371,4.42972972972973,9.0
2015-02-09,0.0,8.15151297837516,6.777348066298342,4.012111042509576,8.15151297837516
2015-02-10,0.0,7.383018204068741,6.138404524599637,3.633863914855456,7.383018204068741
2015-02-11,0.0,6.686974301116268,5.559698238754527,3.2912765403992683,6.686974301116268
2015-02-12,0.0,6.056550866845603,5.035550261006338,2.98098704827626,6.056550866845603
2015-02-13,0.0,5.4855614439201394,4.560817033983732,2.699950512488021,5.4855614439201394
2015-02-14,0.0,4.968402811532156,4.130839916056988,2.445409071501863,4.968402811532156
2015-02-15,0.0,4.5,3.741399465258745,2.214864864864865,4.5
2015-02-16,0.0,4.07575648918758,3.388674033149171,2.006055521254788,4.07575648918758
2015-02-17,0.0,3.69150910203437,3.0692022622998185,1.816931957427728,3.69150910203437
2015-02-18,0.0,3.343487150558134,2.779849119377263,1.6456382701996344,3.343487150558134
2015-02-19,0.0,3.028275433422801,2.517775130503169,1.4904935241381294,3.028275433422801
2015-02-20,0.0,2.74278072196007,2.280408516991866,1.3499752562440104,2.74278072196007
2015-02-21,0.0,2.4842014057660777,2.0654199580284947,1.2227045357509314,2.4842014057660777
2015-02-22,0.0,2.25,1.870699732629372,1.1074324324324325,2.25
2015-02-23,0.0,2.03787824459379,1.6943370165745857,1.003027760627394,2.03787824459379
2015-02-24,0.0,1.845754551017185,1.5346011311499093,0.908465978713864,1.845754551017185
2015-02-25,0.0,1.6717435752790673,1.3899245596886318,0.8228191350998172,1.6717435752790673
2015-02-26,1.9294117647058824,1.5141377167114003,1.2588875652515847,0.7452467620690647,1.9294117647058824
2015-02-27,1.747513893403302,1.3713903609800349,1.1402042584959329,0.6749876281220052,1.747513893403302
2015-02-28,1.582764686885325,1.2421007028830389,1.032709979014247,1.492749391727494,1.582764686885325
2015-03-01,1.4335474318732913,1.125,0.935349866314686,1.3520184489031437,1.4335474318732913
2015-03-02,1.2983978328923904,1.018939122296895,0.8471685082872927,1.2245551036929587,1.2983978328923904
2015-03-03,1.1759896428796115,0.9228772755085928,0.7673005655749546,1.109108535609855,1.1759896428796115
2015-03-04,1.0651216484853248,0.8358717876395336,0.6949622798443159,1.0045458469389332,1.0651216484853248
2015-03-05,0.9647058823529412,0.7570688583557003,0.6294437826257924,0.90984094541062,0.9647058823529412
2015-03-06,0.873756946701651,0.6856951804900174,0.5701021292479664,0.8240644749746441,0.873756946701651
2015-03-07,0.7913823434426623,0.6210503514415194,0.7510571957517295,0.7463746958637469,0.7913823434426623
2015-03-08,0.7167737159366456,0.5625,0.6802502754080307,1.201213681500552,1.201213681500552
2015-03-09,0.6491989164461952,0.5094695611484473,0.6161187720590933,1.0879676571726171,1.0879676571726171
2015-03-10,0.5879948214398059,0.4017274044853288,0.5580333518511406,0.9853980530550006,0.9853980530550006
2015-03-11,0.5325608242426624,0.3638540168256806,0.8907673690205011,0.8924983353714947,0.8924983353714947
2015-03-12,0.4823529411764705,0.3295511933764966,0.8067890854759678,0.8083568626621073,0.8083568626621073
2015-03-13,0.4368784733508255,0.2984823144275038,0.7307279667854198,0.7321479396831992,0.7321479396831992
2015-03-14,0.3956911717213312,0.9763968072976056,0.6618376116570047,0.6631237147131371,0.9763968072976056
2015-03-15,3.224,3.070336391437309,0.5994419867776548,0.89830866807611,3.224
2015-03-16,2.920053093586835,2.78087632697542,0.5429287927778937,0.8136194184899238,2.920053093586835
2015-03-17,2.644761187768625,2.5187054967329314,0.4917434556291732,0.7369143610309628,2.644761187768625
2015-03-18,2.3954227940887605,2.2812511717025936,0.4453836845102505,0.667440775321659,2.3954227940887605
2015-03-19,2.169591110523358,2.066183170340804,0.4033945427379839,0.6045169047034759,2.169591110523358
2015-03-20,1.965050010577614,1.871390992081488,0.6674816005414094,0.547525266037507,1.965050010577614
2015-03-21,1.7797922960421857,1.6949631066185131,1.0767065217391305,0.4959065902325612,1.7797922960421857
2015-03-22,1.612,1.5351681957186545,0.975198576206411,0.9387265135699372,1.612
2015-03-23,1.4600265467934177,1.39043816348771,0.8832604278266152,0.8502268176122455,1.4600265467934177
2015-03-24,1.322380593884312,1.2593527483664655,0.7999898711904277,0.7700705487032032,1.322380593884312
2015-03-25,1.1977113970443802,1.1406255858512968,0.724569757508605,1.567007172353836,1.567007172353836
2015-03-26,1.084795555261679,2.7937062937062938,1.143331141072016,1.4192754780721395,2.7937062937062938
2015-03-27,0.9825250052888072,2.5303259012128025,1.03554207055878,1.285471386599406,2.5303259012128025
2015-03-28,0.8898961480210926,2.4931034482758623,1.058838017965807,1.164281854577219,2.4931034482758623
2015-03-29,0.8059999999999999,6.17375,0.959014649493923,1.0545176275636556,6.17375
2015-03-30,0.7300132733967087,5.591711472249294,0.868602262422402,0.955101569667836,5.591711472249294
2015-03-31,0.6611902969421561,5.064545404152155,0.7867136239091373,0.8650580934237614,5.064545404152155
2015-04-01,0.5988556985221902,4.587078621279618,0.7125451461733209,0.783503586176918,4.587078621279618
2015-04-02,0.5423977776308394,4.154625657132004,0.6453690007455611,0.7096377390360697,4.154625657132004
2015-04-03,0.4912625026444035,3.76294277382244,0.7168098985297163,0.6427356932997029,3.76294277382244
2015-04-04,0.4449480740105463,3.40818631752185,0.6492316878769738,0.5821409272886096,3.40818631752185
2015-04-05,0.4029999999999999,3.086875,0.5880245033001736,1.831006711409396,3.086875
2015-04-06,0.3650066366983543,2.795855736124647,0.532587707805997,1.6583861079495237,2.795855736124647
2015-04-07,0.330595148471078,2.532272702076077,0.4823772902559624,1.5020395424564013,2.532272702076077
2015-04-08,0.2994278492610951,2.293539310639809,0.5687577326673693,1.3604327582628934,2.293539310639809
