,USDINR,NIFTY,INDIAVIX,GOLD,CRUDE,DXY
2015-01-01,63.02799987792969,,15.029999732971191,,,
2015-01-02,63.02799987792969,8395.4501953125,13.800000190734863,1186.0,52.689998626708984,91.08000183105469
2015-01-05,63.27799987792969,8378.400390625,14.149999618530273,1203.9000244140625,50.040000915527344,91.37999725341797
2015-01-06,63.3380012512207,8127.35009765625,17.420000076293945,1219.300048828125,47.93000030517578,91.5
2015-01-07,63.56800079345703,8102.10009765625,18.139999389648438,1210.5999755859375,48.650001525878906,91.88999938964844
2015-01-08,63.27299880981445,8234.599609375,16.469999313354492,1208.4000244140625,48.790000915527344,92.37000274658203
2015-01-09,62.667999267578125,8284.5,15.960000038146973,1216.0,48.36000061035156,91.94000244140625
2015-01-12,62.347999572753906,8323.0,16.110000610351562,1232.699951171875,46.06999969482422,91.9800033569336
2015-01-13,62.06800079345703,8299.400390625,16.479999542236328,1234.300048828125,45.88999938964844,92.30999755859375
2015-01-14,61.972999572753906,8277.5498046875,17.25,1234.4000244140625,48.47999954223633,92.16000366210938
2015-01-15,62.0880012512207,8494.150390625,16.15999984741211,1264.699951171875,46.25,92.3499984741211
2015-01-16,62.05799865722656,8513.7998046875,17.270000457763672,1276.9000244140625,48.689998626708984,92.5199966430664
2015-01-19,61.862998962402344,8550.7001953125,17.649999618530273,,,
2015-01-20,61.63800048828125,8695.599609375,17.270000457763672,1294.199951171875,46.38999938964844,93.05000305175781
2015-01-21,61.64799880981445,8729.5,17.709999084472656,1293.699951171875,47.779998779296875,92.9000015258789
2015-01-22,61.553001403808594,8761.400390625,18.56999969482422,1300.699951171875,46.310001373291016,94.23999786376953
2015-01-23,61.597999572753906,8835.599609375,17.889999389648438,1292.5999755859375,45.59000015258789,95.0
2015-01-26,61.43299865722656,,,1279.4000244140625,45.150001525878906,94.80000305175781
2015-01-27,61.472999572753906,8910.5,18.09000015258789,1291.699951171875,46.22999954223633,94.0199966430664
2015-01-28,61.40299987792969,8914.2998046875,19.770000457763672,1285.9000244140625,44.45000076293945,94.47000122070312
2015-01-29,61.35100173950195,8952.349609375,19.43000030517578,1254.5999755859375,44.529998779296875,94.77999877929688
2015-01-30,61.79600143432617,8808.900390625,20.170000076293945,1278.5,48.2400016784668,94.80000305175781
2015-02-02,62.01300048828125,8797.400390625,20.40999984741211,1276.199951171875,49.56999969482422,94.5
2015-02-03,61.72800064086914,8756.5498046875,19.809999465942383,1259.699951171875,53.04999923706055,93.5999984741211
2015-02-04,61.61399841308594,8723.7001953125,20.049999237060547,1263.800048828125,48.45000076293945,93.98999786376953
2015-02-05,61.86000061035156,8711.7001953125,20.6200008392334,1262.0,50.47999954223633,94.69999694824219
2015-02-06,61.733001708984375,8661.0498046875,20.690000534057617,1233.9000244140625,51.689998626708984,94.69999694824219
2015-02-09,61.9630012512207,8526.349609375,22.020000457763672,1240.800048828125,52.86000061035156,94.44999694824219
2015-02-10,62.130001068115234,8565.5498046875,21.190000534057617,1231.5999755859375,50.02000045776367,94.76000213623047
2015-02-11,62.34199905395508,8627.400390625,20.5,1219.0,48.84000015258789,94.98999786376953
2015-02-12,62.38199996948242,8711.5498046875,20.15999984741211,1220.0999755859375,51.209999084472656,94.08999633789062
2015-02-13,62.16999816894531,8805.5,20.100000381469727,1226.5,52.779998779296875,94.19999694824219
2015-02-16,62.069000244140625,8809.349609375,20.829999923706055,,,
2015-02-17,62.18600082397461,,,1208.0999755859375,53.529998779296875,94.05999755859375
2015-02-18,62.11199951171875,8869.099609375,20.90999984741211,1199.699951171875,52.13999938964844,94.19999694824219
2015-02-19,62.07400131225586,8895.2998046875,20.399999618530273,1207.0999755859375,51.15999984741211,94.4000015258789
2015-02-20,62.165000915527344,8833.599609375,21.270000457763672,1204.4000244140625,50.34000015258789,94.25
2015-02-23,62.10100173950195,8754.9501953125,21.6299991607666,1200.300048828125,49.45000076293945,94.56999969482422
2015-02-24,62.17100143432617,8762.099609375,21.549999237060547,1196.9000244140625,49.279998779296875,94.48999786376953
2015-02-25,62.233001708984375,8767.25,20.780000686645508,1201.0,50.9900016784668,94.20999908447266
2015-02-26,61.87699890136719,8683.849609375,20.579999923706055,1209.5999755859375,48.16999816894531,95.29000091552734
2015-02-27,61.75400161743164,8844.599609375,19.56999969482422,1212.5999755859375,49.7599983215332,95.25
2015-03-02,61.6510009765625,8956.75,15.850000381469727,1207.699951171875,49.59000015258789,95.45999908447266
2015-03-03,61.9010009765625,8996.25,15.489999771118164,1204.0,50.52000045776367,95.37999725341797
2015-03-04,61.8129997253418,8922.650390625,15.199999809265137,1200.5999755859375,51.529998779296875,95.97000122070312
2015-03-05,62.30500030517578,8937.75,14.4399995803833,1195.9000244140625,50.7599983215332,96.37999725341797
2015-03-06,62.44300079345703,,,1164.0999755859375,49.61000061035156,97.62000274658203
2015-03-09,62.452999114990234,8756.75,15.8100004196167,1166.4000244140625,50.0,97.58999633789062
2015-03-10,62.67300033569336,8712.0498046875,15.529999732971191,1160.0999755859375,48.290000915527344,98.62000274658203
2015-03-11,62.7130012512207,8699.9501953125,15.130000114440918,1150.699951171875,48.16999816894531,99.80000305175781
2015-03-12,62.755001068115234,8776.0,14.75,1152.0999755859375,47.04999923706055,99.1500015258789
2015-03-13,62.53499984741211,8647.75,14.970000267028809,1152.5999755859375,44.84000015258789,100.33000183105469
2015-03-16,63.07600021362305,8633.150390625,15.180000305175781,1153.300048828125,43.880001068115234,99.5999984741211
2015-03-17,62.78900146484375,8723.2998046875,15.130000114440918,1148.300048828125,43.459999084472656,99.58999633789062
2015-03-18,62.61600112915039,8685.900390625,15.510000228881836,1151.4000244140625,44.65999984741211,98.55000305175781
