,MAPE (%),RMSE,Theil's U,MDA (%),Sharpe Ratio (Rf=0),Sharpe Ratio (Rf=6.5%),Cumulative Return (%),Sharpe Ratio
naive,0.3346347857341212,0.4050704138051926,1.0,0.0,0.0,0.0,0.0,0.0
es,0.3346347866916123,0.4050704146059644,1.0000000019768707,42.5,-1.0004487696582278,-2.9578561695595305,-12.185384031465906,-1.0004487696582278
arima,0.3283836670788526,0.40471064300015774,0.9991118314426986,57.49999999999999,1.0004487696582278,-0.9569586302430745,13.385026428070045,1.0004487696582278
arimax,0.339313751841697,0.40633636729686734,1.0031252677276095,57.99999999999999,1.2990311535915053,-0.6710137736159149,17.667187258920848,1.2990311535915053
lasso,0.33759904187225476,0.4031012278345929,0.995138657617323,58.5,1.143810983504281,-0.8192647021279202,15.431702786704605,1.143810983504281
rf,0.35360912384345866,0.4128054933606448,1.0190956418731985,49.0,0.33441581297877293,-1.6065048857102402,4.176531459791888,0.33441581297877293
gb,0.34874115308058595,0.40484118898424215,0.9994341111739139,57.99999999999999,1.2891161362882297,-0.6804579139281408,17.523954588589664,1.2891161362882297
arima_lasso,0.3359140204151966,0.40308735597542444,0.9951044120671774,56.99999999999999,1.115857370292357,-0.8460549301009856,15.030961619415839,1.115857370292357
arima_gb,0.34737863243860934,0.4178660370778053,1.031588639497049,57.49999999999999,0.8966516930982061,-1.0571161592232583,11.915502390396782,0.8966516930982061
