Feature,Coefficient
CRUDE_diff_lag1,0.007345249170187028
DXY_diff_lag1,0.04887047461651567
Rate_Spread_diff_lag1,-0.42218210407359835
Geo_Tension_lag1,-0.023315532580459385
Geo_Tension_DirectFX_IndiaPak_lag1,-0.005408313469600684
Geo_Tension_DirectFX_IndiaChina_lag1,-0.05216543215017702
Geo_Tension_OilSupply_lag1,-0.012267223659213213
Geo_Tension_RiskOff_RusUkr_lag1,0.12240200605750651
Geo_Tension_RiskOff_Global_lag1,0.033818431850644766
inr_mom_4w,0.048028991475467034
inr_mom_12w,0.0
is_fiscal_yr_end,0.0
is_qtr_end,-0.05237781559494267
